freq=300, amp=1.500000, phase=4
freq=303, amp=1.500000, phase=2
freq=306, amp=1.500000, phase=2
freq=309, amp=1.500000, phase=0
freq=312, amp=1.500000, phase=0
freq=315, amp=1.500000, phase=2
freq=318, amp=1.500000, phase=5
freq=321, amp=1.500000, phase=1
freq=324, amp=1.750000, phase=5
freq=327, amp=1.750000, phase=2
freq=330, amp=1.750000, phase=2
freq=333, amp=1.750000, phase=0
freq=336, amp=1.750000, phase=1
freq=339, amp=1.750000, phase=5
freq=342, amp=1.750000, phase=2
freq=345, amp=1.750000, phase=0
freq=348, amp=1.750000, phase=0
freq=351, amp=2.000000, phase=2
freq=354, amp=2.000000, phase=2
freq=357, amp=2.000000, phase=4
freq=360, amp=2.000000, phase=2
freq=363, amp=2.000000, phase=2
freq=366, amp=2.250000, phase=2
freq=369, amp=2.250000, phase=4
freq=372, amp=2.250000, phase=2
freq=375, amp=2.250000, phase=2
freq=378, amp=2.500000, phase=2
freq=381, amp=2.250000, phase=4
freq=384, amp=2.500000, phase=4
freq=387, amp=2.500000, phase=4
freq=390, amp=2.500000, phase=4
freq=393, amp=2.750000, phase=4
freq=396, amp=2.750000, phase=4
freq=399, amp=2.750000, phase=4
freq=402, amp=3.000000, phase=4
freq=406, amp=3.000000, phase=4
freq=410, amp=3.250000, phase=5
freq=414, amp=3.250000, phase=5
freq=418, amp=3.500000, phase=5
freq=422, amp=3.750000, phase=5
freq=426, amp=4.000000, phase=7
freq=430, amp=4.250000, phase=7
freq=434, amp=4.500000, phase=7
freq=438, amp=5.000000, phase=8
freq=442, amp=5.250000, phase=8
freq=446, amp=5.750000, phase=9
freq=450, amp=6.500000, phase=9
freq=454, amp=7.250000, phase=11
freq=458, amp=8.250000, phase=14
freq=462, amp=9.250000, phase=15
freq=466, amp=11.500000, phase=21
freq=470, amp=12.750000, phase=23
freq=474, amp=16.750000, phase=29
freq=478, amp=22.750000, phase=42
freq=482, amp=29.000000, phase=64
freq=486, amp=31.500000, phase=91
freq=490, amp=28.000000, phase=119
freq=494, amp=21.000000, phase=140
freq=498, amp=15.500000, phase=151
freq=502, amp=12.750000, phase=154
freq=507, amp=10.000000, phase=163
freq=512, amp=8.000000, phase=163
freq=517, amp=6.750000, phase=167
freq=522, amp=5.750000, phase=168
freq=527, amp=5.000000, phase=170
freq=532, amp=4.500000, phase=170
freq=537, amp=4.000000, phase=171
freq=542, amp=3.750000, phase=172
freq=547, amp=3.500000, phase=172
freq=552, amp=3.250000, phase=174
freq=557, amp=3.000000, phase=172
freq=562, amp=2.750000, phase=174
freq=567, amp=2.500000, phase=175
freq=572, amp=2.250000, phase=174
freq=577, amp=2.250000, phase=174
freq=582, amp=2.000000, phase=175
freq=587, amp=2.000000, phase=175
freq=592, amp=1.750000, phase=175
freq=597, amp=1.750000, phase=175
freq=602, amp=1.750000, phase=175
freq=608, amp=1.500000, phase=175
freq=614, amp=1.500000, phase=177
freq=620, amp=1.250000, phase=177
